study_id,data_file,sheet,id_var,arm_var,arm_include,arm_control,outcome_var,baseline_var,time_var,primary_time,covars_published,strat_vars,cluster_vars,published_est,published_p,notes
phosphatidic_PMC4891923,studies/2016_the-effects-of-phosphatidic-acid-supplementation_PMC4891923/deposit/Maxxtor male stats 8-12-15.xlsx,,ID,Group,,1,LBM2,LBM1,,,"Age,Sex",,,,,LBM = lean body mass; klares pre/post-Paar
facial_PMC11164989,studies/2024_effectiveness-of-novel-facial-stretching-with-st_PMC11164989/deposit/Data sheet.xlsx,,Serial number,Group,,1,VM2,VM1,,,Age,,,,,VM = voluntary movement laut SFGS; SFGS-Composite nicht im Datensatz
gainingmore_PMC10809978,studies/2024_gaining-more-from-doing-less-the-effects-of-a-on_PMC10809978/deposit/Dataset Deload.xlsx,,CODE,GROUP,,1,RF50Post,RF50Pre,,,SEX,,,,,Muskeldicke koprimaer an mehreren Stellen; RF50 gewaehlt
etre_PMC11945196,studies/2025_early-time-restricted-eating-improves-weight-los_PMC11945196/deposit/Body data.csv,,Participant.ID,Group,"Control,eTRE",Control,Weight,,Time,post,,,,,,3 Arme; Kontrast Control gegen eTRE; Koerpergewicht als erstes von drei koprimaeren
aquatic_PMC12111718,studies/2025_effects-of-an-aquatic-protocol-on-electromyograp_PMC12111718/deposit/spss1.xlsx,,code,Group,,1,Post.Strenth.R.Ext,Pre.Strenth.R.Ext,,,"Age,BMI",,,,,kein primaeres Outcome deklariert; Knieextensorenkraft als erstgenanntes gewaehlt
lengthpartial_PMC11829627,studies/2025_lengthened-partial-repetitions-elicit-similar-mu_PMC11829627/deposit/Data Sheet.xlsx,,,GROUP,"1,2",1,BB55-Post,BB55-Pre,,,,,,,,Legendenzeilen in der Gruppenspalte; arm_include filtert; kein primaeres Outcome deklariert
creatine_PMC11944689,studies/2025_the-effect-of-creatine-supplementation-on-lean-b_PMC11944689/deposit/Desai-Data-LBM-segmental.xlsx,,record_id,group,,Control,legs_post1,legs_pre,,,sex,,,,,"Ganzkoerper-Magermasse nicht im Deposit, nur Segmente; Beine als groesstes Segment"
free_PMC6733445,studies/2019_the-fear-reduction-exercised-early-free-approach_PMC6733445/deposit/FREE_Patient_Outcome_Data_v1_0.csv,,study_id,Tment,,Control,rmdq_tot,rmdq_tot_base,week,26,,,practice_code,,,Cluster-RCT in Hausarztpraxen; RMDQ; primaerer Zeitpunkt 26 Wochen ANGENOMMEN
odinet_PMC8830646,studies/2022_understanding-how-individualised-physiotherapy-o_PMC8830646/deposit/unpacked/bernard-liew-2020_ODI_network-df06b64/output/dat_odi.RDS,,subj,grp,,adv,Q1,,time,26,,,,,,"ODI-Items einzeln, kein Gesamtscore im Deposit; Q1 als Platzhalter, Summenbildung waere eigene Analyseentscheidung"
pregnancy12w_PMC4573757,studies/2015_a-12-week-exercise-program-for-pregnant-women-wi_PMC4573757/deposit/Dryad_data.xlsx,,ID,Category,,1,Steps_per_day_v2,Steps_per_day_v1,,,"maternal _age,BMI_v1",,,,,"Ziel laut Abstract: koerperliche Aktivitaet steigern; Schritte pro Tag gewaehlt, v1=Baseline v2=post | Primaeres Outcome laut Paper von kardiorespiratorischer Fitness auf koerperliche Aktivitaet GEAENDERT (Outcome-Switching, gehoert ins Reporting-Audit)."
mallorca_PMC8198819,studies/2021_effectiveness-of-moderate-intensity-aerobic-wate_PMC8198819/deposit/WaterexerciseprogramGAPMallorca.xlsx,,Id,GRUPO,,C,edimburgtotal,,,,,,,,,"KORRIGIERT: primaeres Outcome ist postpartale Depression (EPDS), nicht Gewicht. Titel: Quality of Life and Postpartum Depression. Spalte edimburgtotal, katalanische Benennung. Keine EPDS-Baseline im Datensatz."
