pmcid,pmid,doi,year,journal,title,is_rct,pub_types,n_code,n_data,code_urls,data_urls,on_request_only,das
PMC13143104,42085418,10.1371/journal.pone.0330140,2026,PloS one,High-intensity eccentric hip abductor strength training improves dynamic knee valgus in a task-dependent manner in asymptomatic young women: A pilot study,True,research-article Randomized Controlled Trial Journal Article,0,1,,10.5281/zenodo.1808373,False,"Data Availability Statement The minimal dataset required is available on the Zenodo platform under the following DOI: https://doi.org/10.5281/zenodo.1808373 . This access location is indicated in the Data Availability Statement section of the manuscript, between lines 395–398. The minimal dataset required is available on the Zenodo platform under the following DOI: https://doi.org/10.5281/zenodo.1808373 . This access location is indicated in the Data Availability Statement section of the manuscript, between lines 395–398. The minimal dataset required is available on the Zenodo platform under the following DOI: https://doi.org/10.5281/zenodo.1808373 . This access location is indicated in the Data Availability Statement section of the manuscript, between lines 395–398."
PMC12972472,41225283,10.1007/s11357-025-02006-9,2026,GeroScience,HomeCoRe for telerehabilitation in mild or major neurocognitive disorders: a non-inferiority randomized controlled trial,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,1,,10.5281/zenodo.15389025,False,Data Availability Statement The datasets presented in this study can be found in online repositories. The names of the repository/repositories and accession number(s) can be found below: 10.5281/zenodo.15389025. The datasets presented in this study can be found in online repositories. The names of the repository/repositories and accession number(s) can be found below: 10.5281/zenodo.15389025. The datasets presented in this study can be found in online repositories. The names of the repository/repositories and accession number(s) can be found below: 10.5281/zenodo.15389025.
PMC13305566,42356347,10.3390/nu18121961,2026,Nutrients,Effects of Modest Carbohydrate-Energy Supplementation on Resistance Training Adaptations in Trained Men: A Crossover Trial,True,research-article Randomized Controlled Trial Journal Article,0,1,,osf.io/enz8m,False,Data Availability Statement The original data presented in the study are openly available in the Open Science Framework at https://osf.io/enz8m/overview (accessed on 14 June 2026). The original data presented in the study are openly available in the Open Science Framework at https://osf.io/enz8m/overview (accessed on 14 June 2026). The original data presented in the study are openly available in the Open Science Framework at https://osf.io/enz8m/overview (accessed on 14 June 2026).
PMC12885332,41508826,10.1017/s0033291725103085,2026,Psychological medicine,Changes in repetitive negative thinking and stress perception mediate treatment effects of a transdiagnostic exercise intervention,True,research-article Randomized Controlled Trial Journal Article,0,1,,osf.io/5rcuz,False,Data Availability Statement The data that support the findings of this study are openly available in Open Science Framework at https://osf.io/5rcuz/files/osfstorage . The data that support the findings of this study are openly available in Open Science Framework at https://osf.io/5rcuz/files/osfstorage . The data that support the findings of this study are openly available in Open Science Framework at https://osf.io/5rcuz/files/osfstorage .
PMC13031491,41730991,10.1038/s41598-026-40612-5,2026,Scientific reports,Effects of deload periods in resistance training on muscle hypertrophy and strength endurance in untrained young men using a randomized within subject design,True,research-article Randomized Controlled Trial Journal Article,0,1,,osf.io/6cgpt,False,"Data availability The raw data and materials associated with this study will be publicly available upon acceptance of the Stage 2 manuscript. The statistical analyses and results are already presented in tables and figures within the manuscript. Additionally, the raw data will be deposited in an open-access repository (Open Science Framework—OSF) to ensure transparency and reproducibility. The registration details are available at the following link (Date of registration: 12/01/2025): https://osf.io/6cgpt/?view_only=7a55420f9c0843838b7da349ba26195f . For additional inquiries regarding the data, please contact the corresponding author: (z_pancar@hotmail.com)."
PMC12942207,41752649,10.3390/medicina62020249,2026,"Medicina (Kaunas, Lithuania)",Short-Term Effects of Manual Therapy Combined with Functional Magnetic Stimulation in Individuals with Lumbar Disk Herniation with Radiculopathy: A Randomized Clinical Trial,True,research-article Randomized Controlled Trial Journal Article,0,1,,10.5281/zenodo.17936953,False,Data Availability Statement The data that support the findings of this study are openly available in Zenodo at https://doi.org/10.5281/zenodo.17936953 . The data that support the findings of this study are openly available in Zenodo at https://doi.org/10.5281/zenodo.17936953 . The data that support the findings of this study are openly available in Zenodo at https://doi.org/10.5281/zenodo.17936953 .
PMC13140343,41832049,10.1002/ejsc.70160,2026,European journal of sport science,Acute Responses and Chronic Adaptations to Cluster Versus Traditional Set Resistance Training in Males and Females,True,research-article Randomized Controlled Trial Journal Article,0,1,,osf.io/mej4d,False,Data Availability Statement The dataset and analyses code are available at the Open Science Framework ( https://osf.io/mej4d ). The dataset and analyses code are available at the Open Science Framework ( https://osf.io/mej4d ).
PMC13257960,42275424,10.1371/journal.pone.0345947,2026,PloS one,Integrating multi-session transcranial direct current stimulation with routine physical therapy to improve quadriceps strength and activation in athletes during subacute recovery following ACL reconst,True,research-article Randomized Controlled Trial Journal Article,0,1,,10.5281/zenodo.19831812,False,The dataset DOI is: https://doi.org/10.5281/zenodo.19831812 . The dataset DOI is: https://doi.org/10.5281/zenodo.19831812 .
PMC13098183,42022291,10.1093/braincomms/fcag057,2026,Brain communications,Enhancing spontaneous recovery after stroke: a randomized controlled trial,True,Clinical Trial research-article Journal Article,1,0,github.com/wbyblow/espresso.git,,False,"Data availability The data that support the findings of this study are available from the corresponding author, upon reasonable request. The code used to analyse neuroscientific data can be found here https://github.com/wbyblow/ESPRESSo.git . The data that support the findings of this study are available from the corresponding author, upon reasonable request. The code used to analyse neuroscientific data can be found here https://github.com/wbyblow/ESPRESSo.git ."
PMC13085461,41803851,10.1186/s12916-026-04697-z,2026,BMC medicine,Transcutaneous spinal cord stimulation combined with robot-assisted gait training to improve mobility and balance in spinal cord injury: intramuscular electromyography as a biomarker for functional re,True,research-article Randomized Controlled Trial Journal Article,0,1,,zenodo.org/records/17424997,False,Data Availability Statement Data that support the findings of this study have been deposited in the EU Open Research Depository. DOI: Abdul Rashad. SPSS Sheet Intramuscular Electromyography as a Biomarker of Functional Recovery. The data that support the findings of this study are openly available in [zenodo] at https://zenodo.org/records/17424997 . Data that support the findings of this study have been deposited in the EU Open Research Depository. DOI: Abdul Rashad. SPSS Sheet Intramuscular Electromyography as a Biomarker of Functional Recovery. The data that support the findings of this study are openly available in [zenodo] at https://zenodo.org/records/17424997 . Data that support the findings of this study have been deposited in the EU Open Research Depository. DOI: Abdul Rashad. SPSS Sheet Intramuscular Electromyography as a Biomarker of Functional Recovery. The data that support the findings of this study are openly available in [zenodo] at https://zenodo.org/records/17424997 .
PMC12693843,41374487,10.3390/s25237113,2025,"Sensors (Basel, Switzerland)","A Sensor-Augmented Telerehabilitation System for Knee Osteoarthritis: A Randomized Controlled Trial of Neuromuscular, Functional, and Psychosocial Outcomes",True,research-article Randomized Controlled Trial Journal Article,0,1,,10.5281/zenodo.12112951,False,"Data Availability Statement The dataset generated and analyzed during the current study, including synchronized sEMG and IMU biosignals, is openly accessible on Zenodo at: https://doi.org/10.5281/zenodo.12112951 . The dataset generated and analyzed during the current study, including synchronized sEMG and IMU biosignals, is openly accessible on Zenodo at: https://doi.org/10.5281/zenodo.12112951 . Conflicts of Interest Author Panagiotis Kasnesis was employed by the company ThingEnious PC. The remaining authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest. Abbreviations Abbreviation Full Term OA Osteoarthritis sEMG Surface Electromyography IMU Inertial Measurement Unit RCT Randomized Controlled Trial WOMAC Western Ontario and McMaster Universities Osteoarthritis Index VAS Visual Analogue Scale TUG Timed Up and Go Test ASES Arthritis Self-Efficacy Scale TSK Tampa Scale for Ki"
PMC12181937,40542399,10.1186/s13063-025-08896-6,2025,Trials,Digital education and exercise therapy versus minimal intervention for young people at high risk of early onset knee osteoarthritis after ACL reconstruction: a study protocol for the Stop OsteoARthrit,True,Clinical Trial Protocol research-article Journal Article,0,1,,osf.io/dr23e,False,"Data availability {29} The following study materials can be accessed on the open science framework https://osf.io/dr23e/?view_only=0b3dc80910f045f4b232228d4b999416 ; Screening survey, Eligibility survey, Eligibility interview script, Study information and consent form, SOAR knee assessment form, SOAR workbook with group education slides, Control workbook with video education slides, SOAR physiotherapist tracking form, SOAR participant exercise log, SOAR fidelity checklist, Adverse events reporting form, and MRI protocol. The final data set containing data from participants consenting to their anonymized data being open access will be made available on Borealis (borealisdata.ca)."
PMC12193851,40561080,10.1371/journal.pone.0326218,2025,PloS one,Effect of telemedicine-supported structured exercise program in patients with chronic low back pain: a randomized controlled trial,True,research-article Randomized Controlled Trial Journal Article,0,1,,10.5061/dryad.zpc866tkh,False,Data Availability Statement All dataset files are available from the Dryad repository at https://doi.org/10.5061/dryad.zpc866tkh . All dataset files are available from the Dryad repository at https://doi.org/10.5061/dryad.zpc866tkh . All dataset files are available from the Dryad repository at https://doi.org/10.5061/dryad.zpc866tkh .
PMC11971945,40143671,10.2340/jrm.v57.42726,2025,Journal of rehabilitation medicine,Subphenotypic classification of COVID-19 survivors and response to telerehabilitation: a latent class analysis,True,research-article Multicenter Study Randomized Controlled Trial Journal,0,1,,10.5061/dryad.59zw3r27n,False,"Data Availability Statement Anonymised patient-level data on which the analysis, results, and conclusions reported in this paper are based are available as a Dryad dataset. Reinhardt, Jan D. (2021), Telerehabilitation program for COVID-19 survivors (TERECO) – randomized controlled trial, Dryad, Dataset, https://doi.org/10.5061/dryad.59zw3r27n . Anonymised patient-level data on which the analysis, results, and conclusions reported in this paper are based are available as a Dryad dataset. Reinhardt, Jan D. (2021), Telerehabilitation program for COVID-19 survivors (TERECO) – randomized controlled trial, Dryad, Dataset, https://doi.org/10.5061/dryad.59zw3r27n . Anonymised patient-level data on which the analysis, results, and conclusions reported in this paper are based are available as a Dryad dataset. Reinhardt, Jan D. (2021), Telerehabilitation program for COVID-19 survivors (TERECO) – randomized controlled trial, Dryad, Dataset, https://doi.org/10.5061/dryad.59zw3r27n ."
PMC12583909,41199793,10.12688/f1000research.162466.3,2025,F1000Research,The Effect Of Visual Deprivation During Cognitive Motor Dual Task Training On Cognitive Function In Type 2 Diabetes Mellitus,True,research-article Randomized Controlled Trial Journal Article,0,1,,figshare.com/s/014afef5a58e663a3b96,False,"Data availability The datasets generated analyzed during the current study are available in the Anandh Raj, J (2025). Pretest and post test values of MoCA in Group A and B in Type 2 Diabetes Mellitus subjects. figshare. Dataset. ( https://figshare.com/s/014afef5a58e663a3b96 ). 54 DOI: 10.6084/m9.figshare.28513433.V2 Extended data The extended data for this study include the demographic dataset of participants have been deposited in the Anandh Raj, J (2025). Baseline characteristics of 12-week &amp; 18th-week follow-up of cognitive motor dual-task training in type 2 diabetes mellitus subjects. figshare. Dataset. https://doi.org/10.6084/m9.figshare.29134604.v1 . 43 Data are available under the terms of the Creative Commons Attribution 4.0 International license (CC-BY 4.0) The datasets generated analyzed during the current study are available in the Anandh Raj, J (2025). Pretest and post test values of MoCA in Group A and B in Type 2 Diabetes Mellitus subjects. figshare. Dataset. ( https:"
PMC12410808,40906756,10.1371/journal.pone.0330157,2025,PloS one,Effectiveness and user experiences of a valgus brace in patients with knee osteoarthritis: A mixed-method randomised controlled trial,True,research-article Randomized Controlled Trial Journal Article,0,3,,figshare.com/s/20212f8bb7fba462d17f | figshare.com/s/50cacee63c01e2c2f8a6 | figshare.com/s/7c3894a86e4b00872d41,False,"Data Availability Statement All relevant data are within the manuscript and its Supporting Information files. All individual participant data are collated in the S1 File which can be found here: https://figshare.com/s/50cacee63c01e2c2f8a6 . An overview of all themes, subthemes and the original verbatim Dutch and their English clean verbatim translations of the quotes emerging from the interviews can be found in S1 Table ( https://figshare.com/s/20212f8bb7fba462d17f ). A comprehensive triangulation of quantitative outcomes and qualitative (sub)themes in overlapping areas of data is provided in S2 Table ( https://figshare.com/s/7c3894a86e4b00872d41 ) All relevant data are within the manuscript and its Supporting Information files. All individual participant data are collated in the S1 File which can be found here: https://figshare.com/s/50cacee63c01e2c2f8a6 . An overview of all themes, subthemes and the original verbatim Dutch and their English clean verbatim translations of the quotes e"
PMC12129347,40455920,10.1371/journal.pone.0323213,2025,PloS one,The effect of D-cycloserine on brain connectivity over a course of pulmonary rehabilitation - A randomised control trial with neuroimaging endpoints,True,"research-article Clinical Trial, Phase I Randomized Controlled Trial J",0,1,,data.mendeley.com/datasets/h6y5gs9hs6/1,False,The anonymised dataset is uploaded to Mendeley data: Version 1 Published:25 Nov 2024 DOI: 10.17632/h6y5gs9hs6.1 https://data.mendeley.com/datasets/h6y5gs9hs6/1 . The anonymised dataset is uploaded to Mendeley data: Version 1 Published:25 Nov 2024 DOI: 10.17632/h6y5gs9hs6.1 https://data.mendeley.com/datasets/h6y5gs9hs6/1 .
PMC12694805,41370222,10.1371/journal.pone.0336898,2025,PloS one,"Comparative effects of combined aerobic and resistance training versus high-intensity interval training on insulin resistance, glycaemic control, body composition and quality of life in type 2 diabete",True,Comparative Study research-article Randomized Controlled Trial Journal,0,1,,osf.io/4q9xu,False,All relevant data underlying the results presented in this study are available in the Open Science Framework (OSF) repository at the following DOI: 10.17605/OSF.IO/4Q9XU. All relevant data underlying the results presented in this study are available in the Open Science Framework (OSF) repository at the following DOI: 10.17605/OSF.IO/4Q9XU.
PMC11944689,40292479,10.3390/nu17061081,2025,Nutrients,The Effect of Creatine Supplementation on Lean Body Mass with and Without Resistance Training,True,research-article Randomized Controlled Trial Journal Article,0,1,,osf.io/4pu2t,False,Data Availability Statement The anonymised data collected are available as open data via the Open Science Framework ( https://osf.io/4pu2t/ ). The anonymised data collected are available as open data via the Open Science Framework ( https://osf.io/4pu2t/ ). The anonymised data collected are available as open data via the Open Science Framework ( https://osf.io/4pu2t/ ).
PMC12111718,40424266,10.1371/journal.pone.0322395,2025,PloS one,Effects of an aquatic protocol on electromyography activation and strength of lower limb muscles in blind women: A randomized controlled trial,True,research-article Randomized Controlled Trial Journal Article,0,1,,10.5281/zenodo.14280848,False,Data Availability Statement The data that supports the findings of this study are available in the Zenodo data repository at https://doi.org/10.5281/zenodo.14280848 . The data that supports the findings of this study are available in the Zenodo data repository at https://doi.org/10.5281/zenodo.14280848 . The data that supports the findings of this study are available in the Zenodo data repository at https://doi.org/10.5281/zenodo.14280848 .
PMC12667121,41327143,10.1186/s12909-025-08272-7,2025,BMC medical education,Comparing structured note-taking and multiple-choice question writing as learning strategies among physiotherapy students,True,Comparative Study research-article Randomized Controlled Trial Journal,0,1,,10.5281/zenodo.15861339,False,"Data Availability Statement The anonymized dataset generated and analysed during the current study is available in the Zenodo repository, DOI: 10.5281/zenodo.15861339. The anonymized dataset generated and analysed during the current study is available in the Zenodo repository, DOI: 10.5281/zenodo.15861339. The anonymized dataset generated and analysed during the current study is available in the Zenodo repository, DOI: 10.5281/zenodo.15861339."
PMC11829627,39959841,10.7717/peerj.18904,2025,PeerJ,Lengthened partial repetitions elicit similar muscular adaptations as full range of motion repetitions during resistance training in trained individuals,True,research-article Randomized Controlled Trial Journal Article,0,1,,osf.io/a6cpz,False,"Data Availability Statement The following information was supplied regarding data availability: The data and anonymized videos of participants performing resistance training sessions in both conditions are available at OSF: Wolf, Milo, and Patroklos Androulakis-Korakakis. 2024. “Full Range of Motion vs . Partial Range of Motion at Longer-Muscle Lengths: Effects on Upper-Body Muscle Morphology and Strength.” OSF. September 30. doi: 10.17605/OSF.IO/A6CPZ . The following information was supplied regarding data availability: The data and anonymized videos of participants performing resistance training sessions in both conditions are available at OSF: Wolf, Milo, and Patroklos Androulakis-Korakakis. 2024. “Full Range of Motion vs . Partial Range of Motion at Longer-Muscle Lengths: Effects on Upper-Body Muscle Morphology and Strength.” OSF. September 30. doi: 10.17605/OSF.IO/A6CPZ . The following information was supplied regarding data availability: The data and anonymized videos of particip"
PMC12829194,41413829,10.1186/s12984-025-01840-4,2025,Journal of neuroengineering and rehabilitation,Haptic interaction with a human partner for ankle training in chronic stroke: a pilot study,True,research-article Randomized Controlled Trial Journal Article,0,1,,datadryad.org/share/tdzsicfhne6ilvwds9ee8kjifi66y5_qcqqt4yf_e7m,False,"Data availability The datasets used and analyzed in the current study are publicly available on Dryad, hosted by Northwestern University (http://datadryad.org/share/tDZsicFHne6ILVwds9eE8kjIFi66Y5_qCqqT4yf_e7M)."
PMC12473138,41010536,10.3390/nu17183011,2025,Nutrients,Time-Restricted Eating Without Exercise Enhances Anaerobic Power and Reduces Body Weight: A Randomized Crossover Trial in Untrained Adults,True,research-article Randomized Controlled Trial Journal Article,0,1,,10.5281/zenodo.16874956,False,Data Availability Statement The dataset supporting this study is openly available in Zenodo at https://doi.org/10.5281/zenodo.16874956 . The dataset supporting this study is openly available in Zenodo at https://doi.org/10.5281/zenodo.16874956 . The dataset supporting this study is openly available in Zenodo at https://doi.org/10.5281/zenodo.16874956 .
PMC12190367,40563814,10.3390/brainsci15060644,2025,Brain sciences,Exploring the Impact of Robotic Hand Rehabilitation on Functional Recovery in Parkinson's Disease: A Randomized Controlled Trial,True,research-article Journal Article,0,1,,zenodo.org/records/15462063,False,Data Availability Statement The original data presented in the study are openly available in Zenodo Repository at https://zenodo.org/records/15462063 (accessed on 19 May 2025).
PMC11832030,39960821,10.1002/ejsc.12266,2025,European journal of sport science,The Effect of Proximity-To-Failure on Perceptual Responses to Resistance Training,True,research-article Randomized Controlled Trial Journal Article,0,1,,osf.io/34d92,False,Data Availability Statement All data and code utilised will be openly available on Open Science Framework: https://osf.io/34d92/ . All data and code utilised will be openly available on Open Science Framework: https://osf.io/34d92/ .
PMC11874534,40029149,10.1002/ejsc.12274,2025,European journal of sport science,Isoenergetic Pre-Exercise Meals Varying in Carbohydrate Similarly Affect Resistance Training Volume Performance Compared to Placebo: A Crossover Trial,True,research-article Randomized Controlled Trial Journal Article,0,1,,osf.io/sc2up,False,Data Availability Statement The custom‐written R script and associated dataset are available on the Open Science Framework repository (URL: https://osf.io/sc2up/ ). The custom‐written R script and associated dataset are available on the Open Science Framework repository (URL: https://osf.io/sc2up/ ).
PMC12365372,40831029,10.1002/cncr.70051,2025,Cancer,Physical fitness and clinically assessed disease burden in long-term childhood cancer survivors-The SURfit study,True,research-article Randomized Controlled Trial Journal Article,0,1,,osf.io/w6j4y,False,"Data Availability Statement De‐identified individual participant data that underlie the results reported in this article, statistical programs and data dictionary are available on request to the corresponding author, immediately following publication and without end date, to anyone who provides a sound proposal. The study protocol, statistical analysis plan, patient information, and informed consent forms of the SURfit study are published at the Open Science Framework platform: https://osf.io/w6j4y/ . De‐identified individual participant data that underlie the results reported in this article, statistical programs and data dictionary are available on request to the corresponding author, immediately following publication and without end date, to anyone who provides a sound proposal. The study protocol, statistical analysis plan, patient information, and informed consent forms of the SURfit study are published at the Open Science Framework platform: https://osf.io/w6j4y/ . De‐identified "
PMC11945196,40290077,10.3390/nu17061022,2025,Nutrients,Early Time-Restricted Eating Improves Weight Loss While Preserving Muscle: An 8-Week Trial in Young Women,True,research-article Randomized Controlled Trial Journal Article,0,1,,10.5281/zenodo.14885654,False,Data Availability Statement The dataset supporting this study is openly available in Zenodo at https://doi.org/10.5281/zenodo.14885654 .
PMC11761974,39805013,10.1073/pnas.2406954122,2025,Proceedings of the National Academy of Sciences of the ,Exercise intensity and training alter the innate immune cell type and chromosomal origins of circulating cell-free DNA in humans,True,research-article Randomized Controlled Trial Journal Article,1,0,github.com/rodriguesk/phite,,False,"Data, Materials, and Software Availability The methyl-seq BAM files and the code used for processing the sequencing data have been deposited in dbGaP ( 109 ) and on Github ( 110) ), respectively. The dbGaP accession number is phs003873.v1. The Github repository can be accessed at https://github.com/rodriguesk/PHITE ."
PMC12286844,40399668,10.1038/s41586-025-09028-5,2025,Nature,Closed-loop vagus nerve stimulation aids recovery from spinal cord injury,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",1,0,github.com/davepruitt/replay,,False,Data Availability Statement The data collection code is available on GitHub ( https://github.com/davepruitt/RePlay ). All raw data have been included in the Supplementary Information and are available at Open Data Commons for Spinal Cord Injury ( https://odc-sci.org/data/1315 ). The data collection code is available on GitHub ( https://github.com/davepruitt/RePlay ). All raw data have been included in the Supplementary Information and are available at Open Data Commons for Spinal Cord Injury ( https://odc-sci.org/data/1315 ). The data collection code is available on GitHub ( https://github.com/davepruitt/RePlay ). All raw data have been included in the Supplementary Information and are available at Open Data Commons for Spinal Cord Injury ( https://odc-sci.org/data/1315 ).
