year,is_rct,journal,title,doi,pmcid,hosts,n_files,n_tabular,n_code_files,biggest_tabular_bytes,tabular_files,code_files,data_urls,code_urls
2025,False,PloS one,Outdoor ground surface influences spatiotemporal parameters of walking for individuals undergoing rehabilitation: An obs,10.1371/journal.pone.0337177,PMC12671729,osf,1,1,0,235198,Terrain Data_FINAL12_18_24 (2).xlsx,,osf.io/s3qye,github.com/regainlabunc/spatiotemporal-changes-across-terrains
2023,False,BMJ (Clinical research ed.),Comparative effectiveness and safety of analgesic medicines for adults with acute non-specific low back pain: systematic,10.1136/bmj-2022-072962,PMC10540836,osf,4,1,0,210125,League Tables_OSF.xlsx,,osf.io/kduq3,
2025,False,Brain communications,Transcutaneous electrical nerve stimulation enhances locomotor adaptation savings in people with multiple sclerosis,10.1093/braincomms/fcaf255,PMC12238753,osf,1,1,0,202023,RepositoryData.xlsx,,osf.io/pgv37,github.com/andyhagen11/transcutaneous-electrical-nerve-stimulation-enhances-locomotor-adaptation-savings-in-ms
2022,False,Frontiers in neurology,The Indirect Impact of COVID-19 on Major Clinical Outcomes of People With Parkinson's Disease or Parkinsonism: A Cohort ,10.3389/fneur.2022.873925,PMC9149301,zenodo,1,1,0,172396,raw_data_Vignatelli_2022_zenodo.xlsx,,10.5281/zenodo.6023524,
2024,False,Scientific reports,Predicting the occurrence of minor adverse events in cardiac rehabilitation using physical variables,10.1038/s41598-024-68223-y,PMC11282225,zenodo,1,1,0,164900,Datasheet_LaurinoMJL.xlsx,,10.5281/zenodo.10372903,
2025,False,Health science reports,Psychometric Validation of the German Version of the Rapid Assessment of Physical Activity (RAPA): A Secondary Analysis ,10.1002/hsr2.70353,PMC11747865,osf,3,1,0,92069,EXPEC_Motivation_Umfrage_Daten_anonymisiert_v1.0_13.03.2024.xlsx,,osf.io/hcvfm,
2020,False,PloS one,"Order of same-day concurrent training influences some indices of power development, but not strength, lean mass, or aero",10.1371/journal.pone.0233134,PMC7224562,osf,9,5,0,86808,Lee et al. 2020_PLoS One_Energy Balance Data.xlsx | Lee et al. 2020_PLoS One_Raw RTT Data.xlsx | Lee et al. 2020_PLoS One_Raw Training Data.xlsx | Lee et al. 2020_PLoS One_Raw Diet Data.xlsx | Lee et al. 2020_PLoS One_Raw Performance Data.xlsx,,osf.io/4a9js,
2026,False,"Sensors (Basel, Switzerland)",Robot-Assisted Gait Training Combined with Conventional Physiotherapy in Postoperative Patients with Diplegic Cerebral P,10.3390/s26051438,PMC12987000,zenodo,1,1,0,85542,Database_Zenodo.xlsx,,10.5281/zenodo.15083648,
2025,False,PloS one,Effects of different physical therapy training protocols on patients with idiopathic scoliosis: Short-term results,10.1371/journal.pone.0334713,PMC12533888,figshare,1,1,0,61264,scolio data.xlsx,,figshare.com/articles/dataset/scolio_data_xlsx/28424249,
2025,False,Pain management,"A multimodal intervention of manual therapy, exercise, and psychological management for painful diabetic neuropathy: int",10.1080/17581869.2025.2515010,PMC12218422,osf,2,1,0,26382,Time and Events NeuOst V1.0.xlsx,,osf.io/jyftb,
2021,False,PloS one,Short- and long-term effects of a cardiac rehabilitation program in patients implanted with a left ventricular assist de,10.1371/journal.pone.0259927,PMC8635401,zenodo,1,1,0,24776,PONE_FiguresTablesDATA(P).xlsx,,10.5281/zenodo.5648186,
2025,False,Journal of clinical medicine,Night-Time Bracing Can Reduce Pain in Adults with Scoliosis: Six-Month Results of a Retrospective Controlled Study,10.3390/jcm14134493,PMC12249818,zenodo,1,1,0,20193,tabella corsetto notturno 25 pazienti (2).xlsx,,10.5281/zenodo.14979410,
2019,False,F1000Research,A pilot study on assessing the gap between nurses' task performances and knowledge pertaining the same with reference to,10.12688/f1000research.18815.1,PMC7359752,osf,2,1,0,13102,I COUGH DATA F1000.xlsx,,osf.io/4u8c7,
2026,False,PloS one,Validating the 2-minute walk test MCID for subacute stroke patients: A Pakistani multicenter cohort analysis,10.1371/journal.pone.0347056,PMC13082714,figshare,5,3,0,4877,Demographic_Characteristics.csv | MCID_Analysis.csv | Outcome_Measures.csv,,figshare.com/articles/figure/_b_determining_the_minimally_clinically_important_difference_of_the_2-minute_walk_test_in_individuals_with_subacute_stroke_a_multicenter_cohort_study_b_/29484728,
2025,False,Frontiers in medicine,Exercise-responsive circTSN as a potential systemic biomarker during COPD rehabilitation,10.3389/fmed.2025.1735444,PMC12708264,zenodo,1,1,0,109,README.txt,,zenodo.org/records/17427212,
2025,False,Osteoarthritis and cartilage open,Predictive validity of consensus-based MRI definition of osteoarthritis plus radiographic osteoarthritis for the progres,10.1016/j.ocarto.2025.100582,PMC11889593,osf,1,0,1,0,,code.py,osf.io/qwtue,
2026,False,The South African journal of physiothe,Shoulder pain in amateur fast bowlers: A case example illustrating opportunities to embed prevention in undergraduate ph,10.4102/sajp.v82i2.2304,PMC13149676,figshare-private,0,0,0,0,,,figshare.com/s/e064dd01738496711647,
2026,False,Chronic respiratory disease,The characteristics of people with COPD who enrol in home-based pulmonary rehabilitation versus centre-based pulmonary r,10.1177/14799731261431253,PMC12966549,,0,0,0,0,,,,github.com/nhli-respiratory-epi/home_based_centre_based_pr
2026,False,Health economics review,Cost-effectiveness analysis of intensive and emerging rehabilitation therapies in children with cerebral palsy: an obser,10.1186/s13561-026-00768-2,PMC13177883,,0,0,0,0,,,,github.com/diana-mnd1996/microsimulation-cerebralpalsy
2025,False,PeerJ,"Change in exercise capacity, physical activity and motivation for physical activity at 12 months after a cardiac rehabil",10.7717/peerj.18885,PMC11831972,osf,10,0,0,0,,,osf.io/fpcrv | osf.io/s2xwu,github.com/pydemull/apaco
2025,False,BMJ open sport & exercise medicine,Effects of resistance training intensity on the cardiovascular health of postmenopausal women with hypertension: a study,10.1136/bmjsem-2025-002717,PMC12306270,osf,0,0,0,0,,,osf.io/nbjcq,
2025,False,Frontiers in pharmacology,"Effects and safety of a CBD-rich &lt;i&gt;Cannabis sativa&lt;/i&gt; oil in knee osteoarthritis: a double-blind, randomiz",10.3389/fphar.2025.1657065,PMC12757406,,0,0,0,0,,,data.mendeley.com/datasets/fw6bftyrf2/2,
2025,False,Journal of neuroengineering and rehabi,Telerehabilitation for visual field defects with a multisensory training: a feasibility study,10.1186/s12984-025-01573-4,PMC11849177,zenodo,0,0,0,0,,,10.5281/zenodo.13335206,
2025,False,Brain communications,More than chronic pain: behavioural and psychosocial protective factors predict lower brain age in adults with/at risk o,10.1093/braincomms/fcaf344,PMC12465110,,0,0,0,0,,,,github.com/tannerjared/deepbrainnet | github.com/tannerjared/protectivebag
2025,False,The Journal of clinical investigation,Circadian rhythmicity and biopsychosocial characteristics influence opioid use in chronic low back pain,10.1172/jci188620,PMC12483613,,0,0,0,0,,,,github.com/computationalgenomicslaboratory/clbphum
2025,False,BMJ open,"Large cohort study of postnatal events over 18 months in a not-for-profit referral centre in Vellore, South India",10.1136/bmjopen-2024-096482,PMC12666221,,0,0,0,0,,,datadryad.org/share/rp7l2usft7wfb2gmjkbndpo3vubgm9oxwsqvbrcl8yo,
2025,False,Nature communications,On-chip 3D potency assay for prediction of clinical outcomes for cell therapy candidates for osteoarthritis,10.1038/s41467-025-60158-w,PMC12116846,,0,0,0,0,,,,github.com/bhavaygg/bmac
2025,False,"BMC sports science, medicine & rehabil",Exercise interventions in patients with multiple myeloma: a scoping review,10.1186/s13102-025-01193-4,PMC12147358,osf,0,0,0,0,,,osf.io/udwm4,
2025,False,Neurological research and practice,"Multidisciplinary inpatient care for Parkinson's disease: a single-centre cohort study on improvements in gait, overall ",10.1186/s42466-025-00422-y,PMC12406477,,0,0,0,0,,,,github.com/kleinholdermann/pd_gait_pkb
2025,False,Frontiers in rehabilitation sciences,Effects of whole-body cryostimulation on spinal and shoulder range of motion in individuals with obesity,10.3389/fresc.2025.1568280,PMC12325352,zenodo,0,0,0,0,,,10.5281/zenodo.14735132,
2025,False,"Diagnostics (Basel, Switzerland)",Information Extraction from Lumbar Spine MRI Radiology Reports Using GPT4: Accuracy and Benchmarking Against Research-Gr,10.3390/diagnostics15070930,PMC11989208,,0,0,0,0,,,,github.com/michelle-tong18/versa-spine
2024,False,PloS one,Protocol for a single-blind randomized controlled clinical trial to investigate the feasibility and safety of in-bed sel,10.1371/journal.pone.0310178,PMC11684591,osf,0,0,0,0,,,osf.io/n26pm,
2024,False,BMJ open,Development and internal validation of a multivariable prognostic model to predict chronic pain after a new episode of n,10.1136/bmjopen-2024-086683,PMC11404218,,0,0,0,0,,,,github.com/uashogeschoolutrecht/painr
2024,False,PloS one,Effects of Non-Invasive Ventilation with different modalities in patients undergoing heart surgery: Protocol for a rando,10.1371/journal.pone.0304569,PMC11185470,osf,0,0,0,0,,,osf.io/zqnyv,
2024,False,PloS one,Effects of pulmonary rehabilitation on ventilation dynamics measured during exertion in patients with post-acute COVID-1,10.1371/journal.pone.0296707,PMC10836674,osf,3,0,0,0,,,osf.io/umjkc,
2023,False,Data in brief,A dataset of the effects of therapeutic exercise programs on physical function in patients undergoing hemodialysis,10.1016/j.dib.2023.109048,PMC10025120,,0,0,0,0,,,data.mendeley.com/datasets/w6bwg9zgtg,
2023,False,Data in brief,Socioeconomic status and treatment outcomes in women with genito-pelvic pain penetration disorder: A longitudinal study ,10.1016/j.dib.2023.109210,PMC10197000,,0,0,0,0,,,data.mendeley.com/datasets/tr3y82y2jy/2,
2023,False,NPJ digital medicine,A randomized trial of a mobile health intervention to augment cardiac rehabilitation,10.1038/s41746-023-00921-9,PMC10502072,,0,0,0,0,,,,github.com/wired-l-um/valentine-rct
2023,False,Archives of orthopaedic and trauma sur,Influence of implantation of a total hip endoprosthesis on the ipsilateral leg alignment: the effect of sex and dysplasi,10.1007/s00402-022-04587-y,PMC10191977,zenodo,0,0,0,0,,,10.5281/zenodo.6802660,
2022,False,Annals of medicine,Outcome for dizzy patients in a physiotherapy practice: an observational study,10.1080/07853890.2022.2091790,PMC9258437,zenodo,0,0,0,0,,,10.5281/zenodo.5873693,
2022,False,Pilot and feasibility studies,Personalised exercise therapy and self-management support for people with multimorbidity: Development of the MOBILIZE in,10.1186/s40814-022-01204-y,PMC9717541,osf,2,0,0,0,,,osf.io/qk6yg,
2022,False,BMC geriatrics,Effects of supervised high-intensity hardstyle kettlebell training on grip strength and health-related physical fitness ,10.1186/s12877-022-02958-z,PMC9026020,osf,0,0,0,0,,,osf.io/vtbzw,
2022,False,Cancers,Feasibility of Implementing Cancer-Specific Community-Based Exercise Programming: A Multi-Centre Randomized Trial,10.3390/cancers14112737,PMC9179478,,0,0,0,0,,,dataverse.scholarsportal.info/privateurl.xhtml,
2022,False,Brain communications,A candidate neuroimaging biomarker for detection of neurotransmission-related functional alterations and prediction of p,10.1093/braincomms/fcab302,PMC8833258,,0,0,0,0,,,,github.com/ottaviadipasquale/react-fmri
2020,False,PloS one,"Dedicated emergency department physical therapy is associated with reduced imaging, opioid administration, and length of",10.1371/journal.pone.0231476,PMC7179851,dryad,0,0,0,0,,,10.5061/dryad.vq83bk3pn,
2020,False,BMC musculoskeletal disorders,Quality of life in chronic musculoskeletal symptomatic Chilean population: secondary analysis of National Health Survey ,10.1186/s12891-020-03261-x,PMC7175522,zenodo,0,0,0,0,,,10.5281/zenodo.3530819,
2020,False,PloS one,Wisdom of the CROUD:  Development and validation of a patient-level prediction model for opioid use disorder using popul,10.1371/journal.pone.0228632,PMC7017997,,0,0,0,0,,,,github.com/ohdsi/studyprotocols
2020,False,NPJ digital medicine,Siamese neural networks for continuous disease severity evaluation and change detection in medical imaging,10.1038/s41746-020-0255-1,PMC7099081,,0,0,0,0,,,,github.com/qtim-lab/siamesechange
2019,False,BMC medical education,Educational outreach visits to improve knee osteoarthritis management in primary care,10.1186/s12909-019-1504-3,PMC6397491,figshare-private,0,0,0,0,,,figshare.com/s/b2452cee60e4dcc31610,
2015,False,PloS one,Violence Affects Physical and Mental Health Differently: The General Population Based Tromsø Study,10.1371/journal.pone.0136588,PMC4552864,dryad,0,0,0,0,,,10.5061/dryad.dd206,
