year,is_rct,journal,title,doi,pmcid,n_data,n_code,data_urls,code_urls,das
2026,True,Scientific reports,Effects of deload periods in resistance training on muscle hypertrophy and strength endurance in untrained young men using a randomized within subject design,10.1038/s41598-026-40612-5,PMC13031491,1,0,osf.io/6cgpt,,"Data availability The raw data and materials associated with this study will be publicly available upon acceptance of the Stage 2 manuscript. The statistical analyses and results are already presented in tables and figures within the manuscript. Additionally, the raw data will be deposited in an open-access repository (Open Science Framework—OSF) to ensure transparency and reproducibility. The registration details are available at the following link (Date of registration: 12/01/2025): https://osf.io/6cgpt/?view_only=7a55420f9c0843838b7da349ba26195f . For additional inquiries regarding the data, please contact the corresponding author: (z_pancar@hotmail.com)."
2026,True,"Medicina (Kaunas, Lithuania)",Short-Term Effects of Manual Therapy Combined with Functional Magnetic Stimulation in Individuals with Lumbar Disk Herniation with Radiculopathy: A Randomized Clinical Trial,10.3390/medicina62020249,PMC12942207,1,0,10.5281/zenodo.17936953,,Data Availability Statement The data that support the findings of this study are openly available in Zenodo at https://doi.org/10.5281/zenodo.17936953 . The data that support the findings of this study are openly available in Zenodo at https://doi.org/10.5281/zenodo.17936953 . The data that support the findings of this study are openly available in Zenodo at https://doi.org/10.5281/zenodo.17936953 .
2026,True,European journal of sport science,Acute Responses and Chronic Adaptations to Cluster Versus Traditional Set Resistance Training in Males and Females,10.1002/ejsc.70160,PMC13140343,1,0,osf.io/mej4d,,Data Availability Statement The dataset and analyses code are available at the Open Science Framework ( https://osf.io/mej4d ). The dataset and analyses code are available at the Open Science Framework ( https://osf.io/mej4d ).
2026,True,PloS one,Integrating multi-session transcranial direct current stimulation with routine physical therapy to improve quadriceps strength and activation in athletes during subacute recovery following ACL reconst,10.1371/journal.pone.0345947,PMC13257960,1,0,10.5281/zenodo.19831812,,The dataset DOI is: https://doi.org/10.5281/zenodo.19831812 . The dataset DOI is: https://doi.org/10.5281/zenodo.19831812 .
2026,True,Brain communications,Enhancing spontaneous recovery after stroke: a randomized controlled trial,10.1093/braincomms/fcag057,PMC13098183,0,1,,github.com/wbyblow/espresso.git,"Data availability The data that support the findings of this study are available from the corresponding author, upon reasonable request. The code used to analyse neuroscientific data can be found here https://github.com/wbyblow/ESPRESSo.git . The data that support the findings of this study are available from the corresponding author, upon reasonable request. The code used to analyse neuroscientific data can be found here https://github.com/wbyblow/ESPRESSo.git ."
2026,True,BMC medicine,Transcutaneous spinal cord stimulation combined with robot-assisted gait training to improve mobility and balance in spinal cord injury: intramuscular electromyography as a biomarker for functional re,10.1186/s12916-026-04697-z,PMC13085461,1,0,zenodo.org/records/17424997,,Data Availability Statement Data that support the findings of this study have been deposited in the EU Open Research Depository. DOI: Abdul Rashad. SPSS Sheet Intramuscular Electromyography as a Biomarker of Functional Recovery. The data that support the findings of this study are openly available in [zenodo] at https://zenodo.org/records/17424997 . Data that support the findings of this study have been deposited in the EU Open Research Depository. DOI: Abdul Rashad. SPSS Sheet Intramuscular Electromyography as a Biomarker of Functional Recovery. The data that support the findings of this study are openly available in [zenodo] at https://zenodo.org/records/17424997 . Data that support the findings of this study have been deposited in the EU Open Research Depository. DOI: Abdul Rashad. SPSS Sheet Intramuscular Electromyography as a Biomarker of Functional Recovery. The data that support the findings of this study are openly available in [zenodo] at https://zenodo.org/records/17424997 .
2025,True,"Sensors (Basel, Switzerland)","A Sensor-Augmented Telerehabilitation System for Knee Osteoarthritis: A Randomized Controlled Trial of Neuromuscular, Functional, and Psychosocial Outcomes",10.3390/s25237113,PMC12693843,1,0,10.5281/zenodo.12112951,,"Data Availability Statement The dataset generated and analyzed during the current study, including synchronized sEMG and IMU biosignals, is openly accessible on Zenodo at: https://doi.org/10.5281/zenodo.12112951 . The dataset generated and analyzed during the current study, including synchronized sEMG and IMU biosignals, is openly accessible on Zenodo at: https://doi.org/10.5281/zenodo.12112951 . Conflicts of Interest Author Panagiotis Kasnesis was employed by the company ThingEnious PC. The remaining authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest. Abbreviations Abbreviation Full Term OA Osteoarthritis sEMG Surface Electromyography IMU Inertial Measurement Unit RCT Randomized Controlled Trial WOMAC Western Ontario and McMaster Universities Osteoarthritis Index VAS Visual Analogue Scale TUG Timed Up and Go Test ASES Arthritis Self-Efficacy Scale TSK Tampa Scale for Ki"
2025,True,Trials,Digital education and exercise therapy versus minimal intervention for young people at high risk of early onset knee osteoarthritis after ACL reconstruction: a study protocol for the Stop OsteoARthrit,10.1186/s13063-025-08896-6,PMC12181937,1,0,osf.io/dr23e,,"Data availability {29} The following study materials can be accessed on the open science framework https://osf.io/dr23e/?view_only=0b3dc80910f045f4b232228d4b999416 ; Screening survey, Eligibility survey, Eligibility interview script, Study information and consent form, SOAR knee assessment form, SOAR workbook with group education slides, Control workbook with video education slides, SOAR physiotherapist tracking form, SOAR participant exercise log, SOAR fidelity checklist, Adverse events reporting form, and MRI protocol. The final data set containing data from participants consenting to their anonymized data being open access will be made available on Borealis (borealisdata.ca)."
2025,True,PloS one,Effect of telemedicine-supported structured exercise program in patients with chronic low back pain: a randomized controlled trial,10.1371/journal.pone.0326218,PMC12193851,1,0,10.5061/dryad.zpc866tkh,,Data Availability Statement All dataset files are available from the Dryad repository at https://doi.org/10.5061/dryad.zpc866tkh . All dataset files are available from the Dryad repository at https://doi.org/10.5061/dryad.zpc866tkh . All dataset files are available from the Dryad repository at https://doi.org/10.5061/dryad.zpc866tkh .
2025,True,Journal of rehabilitation medicine,Subphenotypic classification of COVID-19 survivors and response to telerehabilitation: a latent class analysis,10.2340/jrm.v57.42726,PMC11971945,1,0,10.5061/dryad.59zw3r27n,,"Data Availability Statement Anonymised patient-level data on which the analysis, results, and conclusions reported in this paper are based are available as a Dryad dataset. Reinhardt, Jan D. (2021), Telerehabilitation program for COVID-19 survivors (TERECO) – randomized controlled trial, Dryad, Dataset, https://doi.org/10.5061/dryad.59zw3r27n . Anonymised patient-level data on which the analysis, results, and conclusions reported in this paper are based are available as a Dryad dataset. Reinhardt, Jan D. (2021), Telerehabilitation program for COVID-19 survivors (TERECO) – randomized controlled trial, Dryad, Dataset, https://doi.org/10.5061/dryad.59zw3r27n . Anonymised patient-level data on which the analysis, results, and conclusions reported in this paper are based are available as a Dryad dataset. Reinhardt, Jan D. (2021), Telerehabilitation program for COVID-19 survivors (TERECO) – randomized controlled trial, Dryad, Dataset, https://doi.org/10.5061/dryad.59zw3r27n ."
2025,True,F1000Research,The Effect Of Visual Deprivation During Cognitive Motor Dual Task Training On Cognitive Function In Type 2 Diabetes Mellitus,10.12688/f1000research.162466.3,PMC12583909,1,0,figshare.com/s/014afef5a58e663a3b96,,"Data availability The datasets generated analyzed during the current study are available in the Anandh Raj, J (2025). Pretest and post test values of MoCA in Group A and B in Type 2 Diabetes Mellitus subjects. figshare. Dataset. ( https://figshare.com/s/014afef5a58e663a3b96 ). 54 DOI: 10.6084/m9.figshare.28513433.V2 Extended data The extended data for this study include the demographic dataset of participants have been deposited in the Anandh Raj, J (2025). Baseline characteristics of 12-week &amp; 18th-week follow-up of cognitive motor dual-task training in type 2 diabetes mellitus subjects. figshare. Dataset. https://doi.org/10.6084/m9.figshare.29134604.v1 . 43 Data are available under the terms of the Creative Commons Attribution 4.0 International license (CC-BY 4.0) The datasets generated analyzed during the current study are available in the Anandh Raj, J (2025). Pretest and post test values of MoCA in Group A and B in Type 2 Diabetes Mellitus subjects. figshare. Dataset. ( https:"
2025,True,PloS one,Effectiveness and user experiences of a valgus brace in patients with knee osteoarthritis: A mixed-method randomised controlled trial,10.1371/journal.pone.0330157,PMC12410808,3,0,figshare.com/s/20212f8bb7fba462d17f | figshare.com/s/50cacee63c01e2c2f8a6 | figshare.com/s/7c3894a86e4b00872d41,,"Data Availability Statement All relevant data are within the manuscript and its Supporting Information files. All individual participant data are collated in the S1 File which can be found here: https://figshare.com/s/50cacee63c01e2c2f8a6 . An overview of all themes, subthemes and the original verbatim Dutch and their English clean verbatim translations of the quotes emerging from the interviews can be found in S1 Table ( https://figshare.com/s/20212f8bb7fba462d17f ). A comprehensive triangulation of quantitative outcomes and qualitative (sub)themes in overlapping areas of data is provided in S2 Table ( https://figshare.com/s/7c3894a86e4b00872d41 ) All relevant data are within the manuscript and its Supporting Information files. All individual participant data are collated in the S1 File which can be found here: https://figshare.com/s/50cacee63c01e2c2f8a6 . An overview of all themes, subthemes and the original verbatim Dutch and their English clean verbatim translations of the quotes e"
2025,True,PloS one,The effect of D-cycloserine on brain connectivity over a course of pulmonary rehabilitation - A randomised control trial with neuroimaging endpoints,10.1371/journal.pone.0323213,PMC12129347,1,0,data.mendeley.com/datasets/h6y5gs9hs6/1,,The anonymised dataset is uploaded to Mendeley data: Version 1 Published:25 Nov 2024 DOI: 10.17632/h6y5gs9hs6.1 https://data.mendeley.com/datasets/h6y5gs9hs6/1 . The anonymised dataset is uploaded to Mendeley data: Version 1 Published:25 Nov 2024 DOI: 10.17632/h6y5gs9hs6.1 https://data.mendeley.com/datasets/h6y5gs9hs6/1 .
2025,True,PloS one,"Comparative effects of combined aerobic and resistance training versus high-intensity interval training on insulin resistance, glycaemic control, body composition and quality of life in type 2 diabete",10.1371/journal.pone.0336898,PMC12694805,1,0,osf.io/4q9xu,,All relevant data underlying the results presented in this study are available in the Open Science Framework (OSF) repository at the following DOI: 10.17605/OSF.IO/4Q9XU. All relevant data underlying the results presented in this study are available in the Open Science Framework (OSF) repository at the following DOI: 10.17605/OSF.IO/4Q9XU.
2025,True,Nutrients,The Effect of Creatine Supplementation on Lean Body Mass with and Without Resistance Training,10.3390/nu17061081,PMC11944689,1,0,osf.io/4pu2t,,Data Availability Statement The anonymised data collected are available as open data via the Open Science Framework ( https://osf.io/4pu2t/ ). The anonymised data collected are available as open data via the Open Science Framework ( https://osf.io/4pu2t/ ). The anonymised data collected are available as open data via the Open Science Framework ( https://osf.io/4pu2t/ ).
2025,True,PloS one,Effects of an aquatic protocol on electromyography activation and strength of lower limb muscles in blind women: A randomized controlled trial,10.1371/journal.pone.0322395,PMC12111718,1,0,10.5281/zenodo.14280848,,Data Availability Statement The data that supports the findings of this study are available in the Zenodo data repository at https://doi.org/10.5281/zenodo.14280848 . The data that supports the findings of this study are available in the Zenodo data repository at https://doi.org/10.5281/zenodo.14280848 . The data that supports the findings of this study are available in the Zenodo data repository at https://doi.org/10.5281/zenodo.14280848 .
2025,True,BMC medical education,Comparing structured note-taking and multiple-choice question writing as learning strategies among physiotherapy students,10.1186/s12909-025-08272-7,PMC12667121,1,0,10.5281/zenodo.15861339,,"Data Availability Statement The anonymized dataset generated and analysed during the current study is available in the Zenodo repository, DOI: 10.5281/zenodo.15861339. The anonymized dataset generated and analysed during the current study is available in the Zenodo repository, DOI: 10.5281/zenodo.15861339. The anonymized dataset generated and analysed during the current study is available in the Zenodo repository, DOI: 10.5281/zenodo.15861339."
2025,True,PeerJ,Lengthened partial repetitions elicit similar muscular adaptations as full range of motion repetitions during resistance training in trained individuals,10.7717/peerj.18904,PMC11829627,1,0,osf.io/a6cpz,,"Data Availability Statement The following information was supplied regarding data availability: The data and anonymized videos of participants performing resistance training sessions in both conditions are available at OSF: Wolf, Milo, and Patroklos Androulakis-Korakakis. 2024. “Full Range of Motion vs . Partial Range of Motion at Longer-Muscle Lengths: Effects on Upper-Body Muscle Morphology and Strength.” OSF. September 30. doi: 10.17605/OSF.IO/A6CPZ . The following information was supplied regarding data availability: The data and anonymized videos of participants performing resistance training sessions in both conditions are available at OSF: Wolf, Milo, and Patroklos Androulakis-Korakakis. 2024. “Full Range of Motion vs . Partial Range of Motion at Longer-Muscle Lengths: Effects on Upper-Body Muscle Morphology and Strength.” OSF. September 30. doi: 10.17605/OSF.IO/A6CPZ . The following information was supplied regarding data availability: The data and anonymized videos of particip"
2025,True,Journal of neuroengineering and rehabilitation,Haptic interaction with a human partner for ankle training in chronic stroke: a pilot study,10.1186/s12984-025-01840-4,PMC12829194,1,0,datadryad.org/share/tdzsicfhne6ilvwds9ee8kjifi66y5_qcqqt4yf_e7m,,"Data availability The datasets used and analyzed in the current study are publicly available on Dryad, hosted by Northwestern University (http://datadryad.org/share/tDZsicFHne6ILVwds9eE8kjIFi66Y5_qCqqT4yf_e7M)."
2025,True,Nutrients,Time-Restricted Eating Without Exercise Enhances Anaerobic Power and Reduces Body Weight: A Randomized Crossover Trial in Untrained Adults,10.3390/nu17183011,PMC12473138,1,0,10.5281/zenodo.16874956,,Data Availability Statement The dataset supporting this study is openly available in Zenodo at https://doi.org/10.5281/zenodo.16874956 . The dataset supporting this study is openly available in Zenodo at https://doi.org/10.5281/zenodo.16874956 . The dataset supporting this study is openly available in Zenodo at https://doi.org/10.5281/zenodo.16874956 .
2025,True,Brain sciences,Exploring the Impact of Robotic Hand Rehabilitation on Functional Recovery in Parkinson's Disease: A Randomized Controlled Trial,10.3390/brainsci15060644,PMC12190367,1,0,zenodo.org/records/15462063,,Data Availability Statement The original data presented in the study are openly available in Zenodo Repository at https://zenodo.org/records/15462063 (accessed on 19 May 2025).
2025,True,European journal of sport science,The Effect of Proximity-To-Failure on Perceptual Responses to Resistance Training,10.1002/ejsc.12266,PMC11832030,1,0,osf.io/34d92,,Data Availability Statement All data and code utilised will be openly available on Open Science Framework: https://osf.io/34d92/ . All data and code utilised will be openly available on Open Science Framework: https://osf.io/34d92/ .
2025,True,European journal of sport science,Isoenergetic Pre-Exercise Meals Varying in Carbohydrate Similarly Affect Resistance Training Volume Performance Compared to Placebo: A Crossover Trial,10.1002/ejsc.12274,PMC11874534,1,0,osf.io/sc2up,,Data Availability Statement The custom‐written R script and associated dataset are available on the Open Science Framework repository (URL: https://osf.io/sc2up/ ). The custom‐written R script and associated dataset are available on the Open Science Framework repository (URL: https://osf.io/sc2up/ ).
2025,True,Cancer,Physical fitness and clinically assessed disease burden in long-term childhood cancer survivors-The SURfit study,10.1002/cncr.70051,PMC12365372,1,0,osf.io/w6j4y,,"Data Availability Statement De‐identified individual participant data that underlie the results reported in this article, statistical programs and data dictionary are available on request to the corresponding author, immediately following publication and without end date, to anyone who provides a sound proposal. The study protocol, statistical analysis plan, patient information, and informed consent forms of the SURfit study are published at the Open Science Framework platform: https://osf.io/w6j4y/ . De‐identified individual participant data that underlie the results reported in this article, statistical programs and data dictionary are available on request to the corresponding author, immediately following publication and without end date, to anyone who provides a sound proposal. The study protocol, statistical analysis plan, patient information, and informed consent forms of the SURfit study are published at the Open Science Framework platform: https://osf.io/w6j4y/ . De‐identified "
2025,True,Nutrients,Early Time-Restricted Eating Improves Weight Loss While Preserving Muscle: An 8-Week Trial in Young Women,10.3390/nu17061022,PMC11945196,1,0,10.5281/zenodo.14885654,,Data Availability Statement The dataset supporting this study is openly available in Zenodo at https://doi.org/10.5281/zenodo.14885654 .
2025,True,Proceedings of the National Academy of Sciences of the ,Exercise intensity and training alter the innate immune cell type and chromosomal origins of circulating cell-free DNA in humans,10.1073/pnas.2406954122,PMC11761974,0,1,,github.com/rodriguesk/phite,"Data, Materials, and Software Availability The methyl-seq BAM files and the code used for processing the sequencing data have been deposited in dbGaP ( 109 ) and on Github ( 110) ), respectively. The dbGaP accession number is phs003873.v1. The Github repository can be accessed at https://github.com/rodriguesk/PHITE ."
2025,True,Nature,Closed-loop vagus nerve stimulation aids recovery from spinal cord injury,10.1038/s41586-025-09028-5,PMC12286844,0,1,,github.com/davepruitt/replay,Data Availability Statement The data collection code is available on GitHub ( https://github.com/davepruitt/RePlay ). All raw data have been included in the Supplementary Information and are available at Open Data Commons for Spinal Cord Injury ( https://odc-sci.org/data/1315 ). The data collection code is available on GitHub ( https://github.com/davepruitt/RePlay ). All raw data have been included in the Supplementary Information and are available at Open Data Commons for Spinal Cord Injury ( https://odc-sci.org/data/1315 ). The data collection code is available on GitHub ( https://github.com/davepruitt/RePlay ). All raw data have been included in the Supplementary Information and are available at Open Data Commons for Spinal Cord Injury ( https://odc-sci.org/data/1315 ).
2024,True,Scientific reports,"Therapeutic effect of knee extension exercise with single-joint hybrid assistive limb following total knee arthroplasty: a prospective, randomized controlled trial",10.1038/s41598-024-53891-7,PMC10873320,1,0,figshare.com/s/fd1b4d146d6751ccd9f6,,Data Availability Statement The datasets generated and/or analyzed during the current study are available on Figshare. The URL is https://figshare.com/s/fd1b4d146d6751ccd9f6 . The DOI is http://doi.org/ 10.6084/m9.figshare.23306126. The datasets generated and/or analyzed during the current study are available on Figshare. The URL is https://figshare.com/s/fd1b4d146d6751ccd9f6 . The DOI is http://doi.org/ 10.6084/m9.figshare.23306126. The datasets generated and/or analyzed during the current study are available on Figshare. The URL is https://figshare.com/s/fd1b4d146d6751ccd9f6 . The DOI is http://doi.org/ 10.6084/m9.figshare.23306126.
2024,True,PloS one,Effectiveness of structured exercise program on insulin resistance and quality of life in type 2 diabetes mellitus-A randomized controlled trial,10.1371/journal.pone.0302831,PMC11108169,1,0,osf.io/b8nv7,,Data Availability Statement All the files are available from the OSF registry database. ( https://osf.io/b8nv7 ). All the files are available from the OSF registry database. ( https://osf.io/b8nv7 ). All the files are available from the OSF registry database. ( https://osf.io/b8nv7 ).
2024,True,PloS one,"Effects of upper thoracic Mulligan mobilization on pain, range of motion and function in patients with mechanical neck pain: A randomized placebo-controlled trial",10.1371/journal.pone.0311206,PMC11516161,1,0,zenodo.org/records/,,The data underlying the results presented in the study are available from ( https://doi.org/10.5281/ zenodo.13270271 and https://zenodo.org/records/ 13270271). The data underlying the results presented in the study are available from ( https://doi.org/10.5281/ zenodo.13270271 and https://zenodo.org/records/ 13270271).
2024,True,PloS one,Effects of combining sensory-motor exercises with transcranial direct current stimulation on cortical processing and clinical symptoms in patients with lumbosacral radiculopathy: An exploratory random,10.1371/journal.pone.0314361,PMC11658635,1,0,10.5061/dryad.qz612jmr8,,Data relevant to this study are available from Dryad at https://doi.org/10.5061/dryad.qz612jmr8 . Data relevant to this study are available from Dryad at https://doi.org/10.5061/dryad.qz612jmr8 .
2024,True,Scientific reports,Effectiveness of novel facial stretching with structured exercise versus conventional exercise for Bell's palsy: a single-blinded randomized clinical trial,10.1038/s41598-024-64046-z,PMC11164989,1,0,osf.io/uvw89,,Data availability Data sheet and appendix are available from 10.17605/OSF.IO/UVW89.
2024,True,"Healthcare (Basel, Switzerland)",Pilot Randomized Controlled Trial of <i>Lymfit</i>: A Theory-Guided Exercise Intervention for Young Adults with Lymphoma,10.3390/healthcare12111101,PMC11171874,1,0,osf.io/n5abk,,Data Availability Statement The original data presented in the study are openly available in the OSF data depository at doi: 10.17605/OSF.IO/N5ABK. The original data presented in the study are openly available in the OSF data depository at doi: 10.17605/OSF.IO/N5ABK. The original data presented in the study are openly available in the OSF data depository at doi: 10.17605/OSF.IO/N5ABK.
2024,True,Journal of neuroengineering and rehabilitation,Effects of anodal tDCS on resting state eeg power and motor function in acute stroke: a randomized controlled trial,10.1186/s12984-023-01300-x,PMC10765911,1,0,osf.io/5rmjc,,Data Availability Statement The datasets analyzed during the current study are available in the OSF platform ( https://osf.io/5rmjc/ ). The datasets analyzed during the current study are available in the OSF platform ( https://osf.io/5rmjc/ ). The datasets analyzed during the current study are available in the OSF platform ( https://osf.io/5rmjc/ ).
2024,True,Nature medicine,"Supervised, structured and individualized exercise in metastatic breast cancer: a randomized controlled trial",10.1038/s41591-024-03143-y,PMC11485212,0,1,,github.com/anoukhiensch/preferable-effect.git,"Data Availability Statement The data that support the findings of this study are not yet openly available owing to reasons of confidentiality. Researchers can request current data from the corresponding author (a.m.may@umcutrecht.nl). Pseudonymized data (including data dictionaries) will be made available through the Digital Research Environment, which is a trusted digital research environment that can be accessed at https://mydre.org . This will be carried out after the review and approval of a methodologically sound proposal by the General Assembly of PREFERABLE, with a signed data access agreement, which is in line with Ethics Committee requirements (The Ethics Committee of University Medical Center Utrecht, The Netherlands). Requests will be processed within 6 weeks. These files will be available from the date of publication until the date stated in the approved request. Once the PREFERABLE project has been fully completed, the database will be anonymized and shared using Dataverse"
2024,True,European journal of applied physiology,Glucose ingestion before and after resistance training sessions does not augment ribosome biogenesis in healthy moderately trained young adults,10.1007/s00421-024-05446-x,PMC11322406,0,1,,github.com/kristianlian/ribose-paper,Data availability The datasets generated during and analysed during the current study are available in the “ribose-paper” repository; https://github.com/Kristianlian/ribose-paper
2024,True,Nutrients,Placebo Effect of Caffeine on Physiological Parameters and Physical Performance,10.3390/nu16101405,PMC11123970,1,0,10.5281/zenodo.10824782,,Data Availability Statement The data presented in this study are available in Zenodo at DOI: 10.5281/zenodo.10824782. The data presented in this study are available in Zenodo at DOI: 10.5281/zenodo.10824782. The data presented in this study are available in Zenodo at DOI: 10.5281/zenodo.10824782.
2024,True,PeerJ,Gaining more from doing less? The effects of a one-week deload period during supervised resistance training on muscular adaptations,10.7717/peerj.16777,PMC10809978,1,0,osf.io/kdgv3,,"The following information was supplied regarding data availability: The data and supplementary material are available at Open Science Framework: Schoenfeld, Brad J. 2023. “The Effects of a One-Week Deload Period during Regimented Resistance Training on Muscular Adaptations.” OSF. December 21. doi: 10.17605/OSF.IO/KDGV3 ."
2024,True,European journal of applied physiology,Eight weeks of high-intensity interval training versus stretching do not change the psychoneuroendocrine response to a social stress test in emotionally impulsive humans,10.1007/s00421-024-05471-w,PMC11467018,1,0,osf.io/eu4zt,,"Data availability The datasets (for the univariate analyses + correlations of Δ values, and for the correlations of stress markers at T0) are provided in Supplementary Materials B and C and can be accessed with the following link https://osf.io/eu4zt/ ."
2023,True,International journal of environmental research and pub,Comparison of Single and Combined Treatment with Exercise Therapy and Collagen Supplementation on Early Knee Arthritis among Athletes-A Quasi-Randomized Trial,10.3390/ijerph20237088,PMC10706409,1,0,osf.io/v6y9p,,Data Availability Statement Available on OSF–DOI 10.17605/OSF.IO/V6Y9P.
