pmcid,pmid,doi,year,journal,title,is_rct,n_code,n_data,code_urls,data_urls,on_request_only,das
PMC13264383,41421736,10.1016/j.bbi.2025.106225,2026,Brain Behav Immun,Brain-immune correlates of quality of life in adolescents with chronic musculoskeletal pain,False,3,1,github.com/canlab/mediationtoolbox | github.com/jfortin1/combatharmonization | github.com/neuropenlab/publications,osf.io/rt389,False,Data Availability Statement Data will be made available on request.
PMC12874596,41619402,10.1016/j.nicl.2026.103950,2026,Neuroimage Clin,Structural brain alterations in anorexia nervosa: a global brain volume and anatomical likelihood estimation (ALE) meta-analysis combined with a functional decoding approach,False,2,2,github.com/inm7/jubrain-anatomy-toolbox | github.com/leondlotter/juspyce,doi.org/10.5281/zenodo.3892078 | doi.org/10.5281/zenodo.6884932,False,Data availability Data will be made available on request.
PMC13121099,42045133,10.1111/ejn.70521,2026,Eur J Neurosci,Multivariate Pattern Analysis Identifies Potential Intertrial Resting-State EEG Biomarkers in Fibromyalgia,False,2,1,github.com/dinosoldic/eeg | github.com/dinosoldic/eeg-preproc-erp,osf.io/gyk89,False,Data Availability Statement The data supporting the findings of this study are available in the OSF repository ( https://osf.io/gyk89/ ).
PMC13009405,41884599,10.1093/braincomms/fcag071,2026,Brain Commun,The lesion correlates of impaired content word fluency during spoken discourse in aphasia,False,1,1,github.com/masurp/ggmirt,osf.io/rhmqv,False,Data Availability Statement The data and codes used in this study are available on our OSF project page ( https://osf.io/rhmqv/ ). The CWF checklist is available in the appendix of our previous publication. 12
PMC12875119,41659033,10.1093/braincomms/fcag017,2026,Brain Commun,Quantitative susceptibility mapping in myotonic dystrophy: clinical relevance of subcortical iron accumulation,False,1,1,github.com/arnaudletroter/7tamibrain,zenodo.org/records/10931121,False,"Data availability The data that support the findings of this study are available from the corresponding author, upon reasonable request. Regarding the source code for any specialized, in-house scripts or programs, that are necessary for the reproduction of results, scripts for image registration and radiomic feature extraction are hosted in the Zenodo repository ‘MRI dataset for susceptibility-based radiomic feature extraction in healthy controls and patients with multiple sclerosis’ ( https://zenodo.org/records/10931121 )."
PMC12819571,41574093,10.1007/s10055-025-01297-9,2026,Virtual Real,The effect of virtual reality modality level of immersion and locomotion on Spatial learning and gaze measures,False,1,2,github.com/yehuda-bergstein/ptsot,osf.io/4b7kx | osf.io/arfy9,False,"Code and data availability All the data and the codes for data handling, pre-processing, analysis, and Unity task projects are available in the Open Science Framework (OSF, project page: https://osf.io/arfy9/ , preregistration: https://osf.io/4b7kx )."
PMC12923623,41472441,10.1177/13623613251403906,2026,Autism,"Autistic adults prefer social touch less but engage just as much: The impact of social context, relationship type, sensory responsivity, and psychological factors",False,1,1,github.com/justinsulik/jspsych_plugins,osf.io/d6zfr,False,
PMC12671729,41329673,10.1371/journal.pone.0337177,2025,PLoS One,Outdoor ground surface influences spatiotemporal parameters of walking for individuals undergoing rehabilitation: An observational study,False,1,1,github.com/regainlabunc/spatiotemporal-changes-across-terrains,osf.io/s3qye,False,All Excel files that include spatiotemporal data are available at the Open Science Framework database ( https://doi.org/10.17605/OSF.IO/S3QYE) . All R code files used for statistical analysis are available at the Recovery of Gait and Neuro Rehabilitation Lab Github database ( https://github.com/RegainLabUNC/SpatioTemporal-Changes-Across-Terrains) .
PMC11893288,40064524,10.1111/ejn.70051,2025,Eur J Neurosci,Exploring Changes in Primary Motor Cortex Organization and Associations With Changes in Motor-Sensory Tests Over Time in Relation to Low Back Pain Recovery. A Longitudinal Study,False,1,1,github.com/marlow17/surfaceanalysis,osf.io/5c8zg,False,Data Availability Statement Data will be made available on reasonable request.
PMC12711891,41407721,10.1038/s41597-025-06243-7,2025,Sci Data,Generating synthetic images of human skeletal motion for pose and kinematics estimation tasks,False,1,1,github.com/jerela/godosim,zenodo.org/records/15525581,False,Data Availability Statement The generated data is available on Zenodo ( https://zenodo.org/records/15525581 ) 29 . A repository with the code is available on GitHub ( https://github.com/jerela/Godosim ). Detailed installation instructions are provided in the repository.
PMC12622833,41248112,10.1371/journal.pcbi.1012713,2025,PLoS Comput Biol,Benchmarking the predictive capability of human gait simulations,False,1,1,github.com/maartenafschrift/predsim_gait_conditions,doi.org/10.5281/zenodo.14524619,False,Data Availability Statement A static copy of the Simulation code and experimental data can be accessed through Zenodo: https://doi.org/10.5281/zenodo.14524619 . The simulation software will be maintained in a GitHub repository https://github.com/MaartenAfschrift/PredSim_gait_conditions .The simulation software will be integrated and maintained in a GitHub repository https://github.com//KULeuvenNeuromechanics/PredSim .
PMC12370028,40839548,10.1371/journal.pmed.1004665,2025,PLoS Med,"Predicting knee osteoarthritis progression using neural network with longitudinal MRI radiomics, and biochemical biomarkers: A modeling study",False,1,1,github.com/dmlc/xgboost,doi.org/10.5281/zenodo.15680828,False,"Data Availability Statement The data that support the findings of this study are publicly available through the Osteoarthritis Initiative (OAI) repository at https://nda.nih.gov/oai/ . De-identified patient-level clinical data, outcome data, and MRI imaging data used in this study can be accessed from this repository. The specific dataset utilized is clearly identifiable upon accessing the repository. Additionally, the source code for the predictive model developed in this study is available at https://github.com/dmlc/xgboost , and a permanently archived version has been deposited in Zenodo at https://doi.org/10.5281/zenodo.15680828 ."
PMC12670788,41310672,10.1186/s12913-025-13824-0,2025,BMC Health Serv Res,Patient perspective and research prioritization in rehabilitation after stroke - results from an online survey in Germany,False,1,2,github.com/funkstille1011/prio-stroke,osf.io/86k3b | osf.io/a3pt6,False,Data Availability Statement The code to produce this manuscript including the analysis scripts are shared in a public online github repository ( https://github.com/Funkstille1011/PRIO-Stroke ). Protocol and processed data are available on our open science framework (osf) repository ([ https://osf.io/86k3b/ ] ([10.1186/s13643-024-02686-y)).
PMC12557928,41146083,10.1186/s12891-025-09216-4,2025,BMC Musculoskelet Disord,Social factors contributing to the development of chronic low back pain: a scoping review,False,1,2,github.com/jaks6/citation_map,osf.io/8dbjv | osf.io/z3qkp,False,"Data Availability Statement The datasets generated and/or analysed during the current study are available in the Open Science Framework repository, https://osf.io/z3qkp/?view_only=28b53a46a6d542e7b5f8d3d1aae205f3 ."
PMC11935781,40134862,10.7717/peerj-cs.2695,2025,PeerJ Comput Sci,AI-driven balance evaluation: a comparative study between blind and non-blind individuals using the mini-BESTest,False,1,1,github.com/mjaenvargas/mini-bestest_blind_noblind,doi.org/10.5281/zenodo.13842814,False,"Data Availability The following information was supplied regarding data availability: Data is available at Zenodo: Jaén-Vargas, M., Pagán, J., Li, S., Kazemi, N., &amp; Serrano-Olmedo, J. J. (2024). Automated balance assessment for blind and non-blind individuals using mini-BESTest and AI (v2.0.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13842814 Project code is available at GitHub: https://github.com/mjaenvargas/mini-BESTest_blind_noblind ."
PMC12221366,40606649,10.1016/j.cpnec.2025.100308,2025,Compr Psychoneuroendocrinol,"Frequencies of persistence, activity pacing, fear avoidance and general stress in acute neck pain",False,1,1,github.com/ritamorf/longneck-acute-data,osf.io/dfy2j,False,Availability of data and materials The data sets used and analyzed in the current study will be available on request from the corresponding author.
PMC12719767,41438066,10.1016/j.isci.2025.114094,2025,iScience,Seq2seq motion continuity and limb invariance constrained spatial-temporal encoder for 3D human pose estimation,False,2,1,github.com/jamesoconer/mclice | github.com/leoxiaobin/deep-high-resolution-net.pytorch,doi.org/10.5281/zenodo.2819484,False,Data Availability Statement • Data: This study uses data from a public dataset available at https://vision.imar.ro/human3.6m and https://vcai.mpi-inf.mpg.de/projects/3dhp . • Code: The original code has been deposited in a GitHub repository at https://github.com/JamesOconer/MCLICE and is publicly available as of the date of publication. • Additional information: Any additional information required to reanalyze the data reported in this article is available from the lead contact upon request.
PMC12669841,40995780,10.1242/jeb.250952,2025,J Exp Biol,Soft tissue constraints on joint mobility in the avian shoulder,False,2,4,github.com/danielguterding/pytricubic | github.com/oliverdemuth/mayasigneddistancefields,doi.org/10.5281/zenodo.15373685 | doi.org/10.5281/zenodo.15436559 | doi.org/10.5281/zenodo.15437558 | doi.org/10.5281/zenodo.15442127,False,
PMC12657464,41322119,10.3389/fpain.2025.1686389,2025,Front Pain Res (Lausanne),Prognostic value of activity patterns and stress measures for persistent pain and disability in acute neck pain: a 3-month follow-up study,False,1,1,github.com/ritamorf/regression-3-months,osf.io/dfy2j,False,"Data availability statement The raw data supporting the conclusions of this article will be made available by the authors, without undue reservation."
PMC12704327,41404524,10.1093/braincomms/fcaf477,2025,Brain Commun,From acute neglect to chronic constructional deficits: parietotemporal contributions to long-term post-stroke impairments,False,2,1,github.com/atdemarco/svrlsmgui | github.com/jiesong2358/svr-lsm,osf.io/4ewuc,False,"Data Availability Statement Custom-made scripts for SVM analysis are available on GitHub: https://github.com/Jiesong2358/SVR-LSM . Anonymized demographic, behavioural and lesion data are available on the Open Science Framework (OSF): https://osf.io/4ewuc/?view_only=660f249e9721472ab89dd5fc9f4a6026 ."
PMC12575601,40721566,10.1007/s10439-025-03807-x,2025,Ann Biomed Eng,Musculoskeletal Inverse Kinematics Tool for Inertial Motion Capture Data Based on the Adaptive Unscented Kalman Smoother: An Implementation for OpenSim,False,3,1,github.com/antoinefalisse/opensim-core | github.com/opensim-org/opensim-core | github.com/sandmaenchen/opensim-core-public,zenodo.org/doi/10.5281/zenodo.5901447,False,Data Availability Not applicable. Materials Availability Not applicable. Code Availability The source code for OpenSim extended with our custom-created tools is available on GitHub at https://github.com/Sandmaenchen/opensim-core-public/tree/ukf-uks-tools .
PMC12827411,41444482,10.1038/s41467-025-67578-8,2025,Nat Commun,Genetic Insights into Head-to-Body Ratios Via Deep Learning-Based Image Segmentation and Implications for Common Diseases,True,1,1,github.com/weishaoxia/head-body-ratio,zenodo.org/records/3842289,False,Data availability The data from UK Biobank used in this study are available through a procedure described at: https://www.ukbiobank.ac.uk/enable-your-research . All public data sources are cited in the corresponding sections of the Methods. The GWAS summary statistics used in the MR analysis can be obtained from the URLs listed in Supplementary Data 21 . The GWAS summary data generated in this study have been deposited in the Zenodo database under accession code 14835684 10.5281/zenodo.17421944 108 and GWAS Catalog database under accession IDs GCST90702447-GCST90702456 ( https://www.ebi.ac.uk/gwas/ ).
PMC12452698,40981026,10.3390/jfmk10030327,2025,J Funct Morphol Kinesiol,The Musculoskeletal Advanced Transillumination Technique (MATT): A Descriptive Proof-of-Concept Study of a New Method for the Study of the Iliotibial Tract Tested on Fresh Cadaveric Specimen,False,1,1,github.com/medcodeudem/matt_chus,doi.org/10.5281/zenodo.16875886,False,Data Availability Statement The original dataset and the Python algorithm presented in the study are openly available in Zenodo at https://doi.org/10.5281/zenodo.16875886 ; accessed on 14 August 2025.
PMC12395960,40880132,10.1093/gigascience/giaf094,2025,Gigascience,Comparing linear and nonlinear finite element models of vertebral strength across the thoracolumbar spine: a benchmark from density-calibrated computed tomography,False,3,1,github.com/bonelab/ogo | github.com/bonelab/spinefe-benchmark | github.com/mic-dkfz/nnunet,osf.io/nqjyw,False,"Data Availability Availability of Supporting Source Code and Requirements Project name Project homepage Operating system(s) Programming language Other requirements License SpineFE Benchmark https://github.com/Bonelab/spineFE-benchmark Platform independent Python Python ≥3.8, GNU GPL v3.0 Ogo (Density calibration) https://github.com/Bonelab/Ogo Platform independent Python Python ≥3.8, GNU GPL v3.0 nnU-Net (Segmentation) https://github.com/MIC-DKFZ/nnUNet Platform independent Python Python ≥3.8, PyTorch Apache 2.0 FAIM (FE solver) https://bonelab.github.io/n88/faim.html Platform independent C++ Free academic license, Eigen ≥3.3 Free license (registration) All derived data used in this article, including curated metadata (e.g., vBMD values, vertebral stiffness, and strength estimates), as well as code to generate figures and instructions for applying the data in other analyses, and sample d"
PMC12257802,40660342,10.1186/s12984-025-01683-z,2025,J Neuroeng Rehabil,A toolbox for the identification of foot-floor contact sequences to analyze atypical gait cycles in a real-life scenario: application on patients after proximal femur fracture and healthy el,False,1,1,github.com/biolab-polito/pin2gpi,zenodo.org/records/13987963,False,"Data Availability Statement To validate the newly proposed algorithm, the Mobilise-D Technical Validation Study (TVS) dataset was used (10.5281/zenodo.13987963; accessed on 19 June 2025). The PIN2GPI toolbox presented in this study is freely available on GitHub ( https://github.com/Biolab-PoliTO/PIN2GPI/tree/main ; accessed on 19 June 2025)."
PMC12174651,40538907,10.47895/amp.v59i6.7687,2025,Acta Med Philipp,A Scoping Review of Worldwide Patent Applications in Anatomical Education (2018-2022),False,1,1,github.com/users/rfgenuino,osf.io/z2uha,False,
PMC12192641,40567666,10.7717/peerj-cs.2919,2025,PeerJ Comput Sci,Sporting a virtual future: exploring sports and virtual reality patents using deep learning-based analysis,False,3,1,github.com/ezzy4me/wipo_topicmodel | github.com/ezzy4me/wipo_topicmodel.git | github.com/maartengr/bertopic,doi.org/10.5281/zenodo.15275142,False,Data Availability Statement The following information was supplied regarding data availability: The code and data is available at Github and Zenodo: - https://github.com/ezzy4me/wipo_topicmodel - sangmin song. (2025). ezzy4me/wipo_topicmodel: Initial Release for Zenodo DOI (v1.0.0). Zenodo. https://doi.org/10.5281/zenodo.15275142 .
PMC12189551,40564298,10.3390/ani15121746,2025,Animals (Basel),Worth the Effort? Rehabilitation Causes and Outcomes and the Assessment of Post-Release Survival for Urban Wild Bird Admissions in a European Metropolis,False,1,1,github.com/marcengler/engler_et_al_2025_animals,zenodo.org/records/15648030,False,"Data Availability Statement The data and R code that support the findings of this study will be available on GitHub ( https://github.com/marcengler/Engler_et_al_2025_Animals , accessed on 9 June 2025) and Zenodo ( https://zenodo.org/records/15648030 , accessed on 9 June 2025)."
PMC12775516,41469404,10.1038/s41597-025-06439-x,2025,Sci Data,GAITEX: Human motion dataset of impaired gait and rehabilitation exercises using inertial and optical sensors,False,1,1,github.com/ai-for-sensor-data-analytics-ulm/aisd_ortho_ki_dataset,zenodo.org/records/15729055,False,"Data Availability Statement The dataset is available at https://zenodo.org/records/15729055 . All postprocessing steps described in this manuscript-including model scaling, orientation transformation, and inverse kinematics-can be reproduced using the accompanying code repository. The repository is publicly available on GitHub via the following URL ( https://github.com/ai-for-sensor-data-analytics-ulm/aisd_ortho_ki_dataset ) and provides scripts, configuration files, and documentation required to apply the full processing pipeline to the provided raw data."
PMC12448021,40978135,10.1016/j.isci.2025.113367,2025,iScience,Emergent motor timing enhances time perception,False,1,1,github.com/brainardlab/mquestplus,doi.org/10.5281/zenodo.14913669,False,Data and code availability • Data: All behavior data from the experiments are publicly available as of the date of publication. Accession numbers are listed in the key resources table . • Code: All original code has been deposited at Zenodo and is publicly available as of the date of publication. DOIs are listed in the key resources table . All the software used in the article are listed in the key resources table . • Additional information: Any additional information required to reanalyze the data reported in this article is available from the lead contact upon request.
PMC12694056,41374548,10.3390/s25237172,2025,Sensors (Basel),Deriving Motor States and Mobility Metrics from Gamified Augmented Reality Rehabilitation Exercises in People with Parkinson's Disease,False,1,2,github.com/pvand/motorstate_detection_and_metrics,doi.org/10.5281/zenodo.17592651 | zenodo.org/records/15655001,False,Data Availability Statement The datasets and pseudocode supporting the findings of this study are publicly available in the GitHub repository https://github.com/pvand/Motorstate_detection_and_metrics and can be cited using the DOI: https://doi.org/10.5281/zenodo.17592651 .
PMC12129725,39786367,10.1093/brain/awae408,2025,Brain,Enhanced behavioural and neural sensitivity to punishments in chronic pain and fatigue,False,1,1,github.com/antsx/ants,osf.io/82hp9,False,"Data Availability Statement All code, raw behavioural, clinical and demographical data and group statistical maps are available open source: https://osf.io/82hp9/ . Raw MRI images are available upon reasonable request to the authors."
PMC12285119,40702575,10.1186/s42523-025-00449-1,2025,Anim Microbiome,Antimicrobial treatment affects the microbiome and resistome of both treated and untreated rehabilitating harbour seals (Phoca vitulina),False,2,1,github.com/felixkrueger/trimgalore | github.com/pmartinezarbizu/pairwiseadonis,doi.org/10.5281/zenodo.14501721,False,"Data Availability Statement The sequence data is available at European Nucleotide Archive under accession PRJEB76659. All other relevant data are within the manuscript and its supporting information files. The data underlying the results presented in the study are available from https://www.ncbi.nlm.nih.gov/bioproject/PRJEB60284/,https://www.ncbi.nlm.nih.gov/bioproject/PRJEB76659 and https://doi.org/10.5281/zenodo.14501721."
PMC12002250,40096621,10.1073/pnas.2411138122,2025,Proc Natl Acad Sci U S A,Avian cranial kinesis is the result of increased encephalization during the origin of birds,False,1,1,github.com/middletonlab/muscleternary,osf.io/2kpdb,False,"Data Availability Statement Models are available via download on Sketchfab and Open Science Framework (OSF). Data from dinosaur material are available in part through Sketchfab and OSF, or the authors by request. Data type-3D models (.stl files) data have been deposited in Sketchfab and OSF ( https://osf.io/2kpdb/ ) ( 38 ). Previously published data were used for this work ( 59 , 69 )."
PMC12235056,40566939,10.1177/03635465251349143,2025,Am J Sports Med,Acromioclavicular Fixation Before Coracoclavicular Tunnel Placement and Acromioclavicular Construct Design Improved Reduction and Stability in a Whole-Shoulder Girdle Model: A Pilot Study,False,1,2,github.com/fmoissenet/blab_roboshoulder_toolbox,doi.org/10.5281/zenodo.8146966 | doi.org/10.5281/zenodo.8217257,False,
PMC12027196,40332106,10.3390/ijms26083608,2025,Int J Mol Sci,Resting-State fMRI and Post-Ischemic Stroke Functional Recovery: Unraveling Causality and Predicting Therapeutic Targets,True,1,1,github.com/chr1swallace/coloc,doi.org/10.5281/zenodo.5775047,False,"Data Availability Statement GWAS summary statistics for GISCOME are available at https://www.strokegenetics.org/ (accessed on 20 June 2024). The eQTL summary data from Decode were accessed via https://www.decode.com/summarydata/ (accessed on 20 June 2024). GWAS summary statistics for rs-fMRI were obtained from https://doi.org/10.5281/zenodo.5775047 . Protein expression data were sourced from the Human Protein Atlas, v23.0.proteinatlas.org, accessed on 1 September 2024. All of the aforementioned data are freely accessible on the website."
PMC12238753,40636812,10.1093/braincomms/fcaf255,2025,Brain Commun,Transcutaneous electrical nerve stimulation enhances locomotor adaptation savings in people with multiple sclerosis,True,1,1,github.com/andyhagen11/transcutaneous-electrical-nerve-stimulation-enhances-locomotor-adaptation-savings-in-ms,osf.io/pgv37,False,Data Availability Statement The data that support the findings of this study are openly available in the Open Science Framework at https://osf.io/pgv37/ . The code used for the analyses in this study is available on GitHub at https://github.com/andyhagen11/Transcutaneous-electrical-nerve-stimulation-enhances-locomotor-adaptation-savings-in-MS .
PMC12192784,40567632,10.7717/peerj-cs.2888,2025,PeerJ Comput Sci,Estimation of lower limb torque: a novel hybrid method based on continuous wavelet transform and deep learning approach,False,1,1,github.com/hihubxu/estimation-of-lower-limb-torque,doi.org/10.5281/zenodo.14826881,False,"Data Availability The following information was supplied regarding data availability: The lower limb biomechanics datasets are available at Mendeley Data: - Camargo, Jonathan (2021), “Data repository for Camargo, et. al. A comprehensive, open-source dataset of lower limb biomechanics. Part 1 of 3”, Mendeley Data, V1, doi: 10.17632/fcgm3chfff.1 . - Camargo, Jonathan (2021), “Data repository for Camargo, et. al. A comprehensive, open-source dataset of lower limb biomechanics. Part 2 of 3”, Mendeley Data, V1, doi: 10.17632/k9kvm5tn3f.1 . - Camargo, Jonathan (2021), “Data repository for Camargo, et. al. A comprehensive, open-source dataset of lower limb biomechanics. Part 3 of 3”, Mendeley Data, V1, doi: 10.17632/jj3r5f9pnf.1 . A Human Lower-Limb Biomechanics and Wearable Sensors Dataset During Cyclic and Non-Cyclic Activities is available at Georgia Tech Digital Repository: https://doi.org/"
PMC11735635,39814723,10.1038/s41467-024-55704-x,2025,Nat Commun,Long-term memory plasticity in a decade-long connectivity study post anterior temporal lobe resection,False,1,1,github.com/marine-fleury/memory-plasticity.git,osf.io/8suqt,False,Data Availability Statement Source data are provided with this paper and can be accessed at https://github.com/marine-fleury/memory-plasticity.git 76 . The processed neuroimaging data are available at https://osf.io/8suqt/ 77 . Source data are provided with this paper. R code is provided and can be accessed at https://github.com/marine-fleury/memory-plasticity.git 76 .
PMC11831972,39963198,10.7717/peerj.18885,2025,PeerJ,"Change in exercise capacity, physical activity and motivation for physical activity at 12 months after a cardiac rehabilitation program in coronary heart disease patients: a prospective, mon",False,1,2,github.com/pydemull/apaco,osf.io/fpcrv | osf.io/s2xwu,False,"Data Availability The following information was supplied regarding data availability: All the instructions and materials allowing the reproduction of the analyses and the results are available at GitHub and Open Science Framework: - https://github.com/pydemull/APACo - de Müllenheim, Pierre-Yves. 2024. “APA&amp;Co.” OSF. doi: 10.17605/OSF.IO/S2XWU . The Supplemental Files are also available at Open Science Framework: de Müllenheim, Pierre-Yves. 2024. “ Supplemental Materials .” OSF. doi: 10.17605/OSF.IO/FPCRV . The results of the study were obtained using several R packages: • Initial tasks of the data analysis workflow (import, tidy, and transform data): {tidyverse} ( Wickham et al., 2019 ); {tidyselect} ( Henry &amp; Wickham, 2024a ). • Figures: {ggplot2} ( Wickham, 2016 ), {Hmisc} ( Harrell, 2024 ), {patchwork} ( Lin Pedersen, 2024 ), {ggbeeswarm} ( Clarke, Sherrill-Mix &amp; Dawson, 2"
