"node","share","share_incl_resid","study_id","grid_type","target"
"baseline",8.117763943403,7.46654190950729,"etip_PMC6886967","defensible","ci_width_d"
"inference",1.58020661223061,1.45343951587663,"etip_PMC6886967","defensible","ci_width_d"
"missing",88.8156951044667,81.690735816288,"etip_PMC6886967","defensible","ci_width_d"
"transform",1.48633433989964,1.36709785080894,"etip_PMC6886967","defensible","ci_width_d"
"baseline",99.8574763961451,99.6709965398715,"phosphatidic_PMC4891923","defensible","ci_width_d"
"inference",0.137637221667486,0.137380189643038,"phosphatidic_PMC4891923","defensible","ci_width_d"
"transform",0.00488638218741855,0.00487725706348298,"phosphatidic_PMC4891923","defensible","ci_width_d"
"baseline",57.2537087651908,35.1918578627022,"facial_PMC11164989","defensible","ci_width_d"
"inference",9.93814292195112,6.10862982803239,"facial_PMC11164989","defensible","ci_width_d"
"missing",0.0142377930241885,0.008751474781149,"facial_PMC11164989","defensible","ci_width_d"
"transform",32.7939105198339,20.1572729988424,"facial_PMC11164989","defensible","ci_width_d"
"baseline",99.7646894032629,99.6293322352123,"gainingmore_PMC10809978","defensible","ci_width_d"
"inference",0.21785160416272,0.21755603088553,"gainingmore_PMC10809978","defensible","ci_width_d"
"transform",0.0174589925744202,0.0174353048367444,"gainingmore_PMC10809978","defensible","ci_width_d"
"baseline",91.7839510598587,91.3393917798945,"etre_PMC11945196","defensible","ci_width_d"
"inference",8.16895999586209,8.129393307657,"etre_PMC11945196","defensible","ci_width_d"
"transform",0.0470889442792163,0.0468608670726751,"etre_PMC11945196","defensible","ci_width_d"
"baseline",98.8783685346135,98.377305765547,"creatine_PMC11944689","defensible","ci_width_d"
"inference",0.0117140578311775,0.0116546972415877,"creatine_PMC11944689","defensible","ci_width_d"
"missing",1.10990842444312,1.1042840012573,"creatine_PMC11944689","defensible","ci_width_d"
"transform",8.98311218390374e-06,8.93759056848463e-06,"creatine_PMC11944689","defensible","ci_width_d"
"baseline",4.08696726524588,2.83429109281962,"free_PMC6733445","defensible","ci_width_d"
"covars",2.27036492491183,1.57448657317311,"free_PMC6733445","defensible","ci_width_d"
"model",82.9424221040347,57.5201495214832,"free_PMC6733445","defensible","ci_width_d"
"inference",0.130448567301932,0.0904654205378628,"free_PMC6733445","defensible","ci_width_d"
"missing",10.5697971385057,7.33010076624008,"free_PMC6733445","defensible","ci_width_d"
"inference",0.128203144896073,0.125316279699455,"mallorca_PMC8198819","defensible","ci_width_d"
"missing",98.9232795814966,96.6957353727285,"mallorca_PMC8198819","defensible","ci_width_d"
"transform",0.948517273607379,0.927158659450234,"mallorca_PMC8198819","defensible","ci_width_d"
